Unnamed: 0,composition,target (S/cm),log_target,Arrhenius Barrier (eV),structure files,temperature,Link to reference
82,Li0.5 Ce0.5 Mo1 O4,1.3e-08,-7.886056648,0.4,186450.cif,25.0,https://doi.org/10.1039/D2EE03499A
251,Li1 Al1 Si1 O4,2e-09,-8.698970004,0.68,55665.cif,25.0,https://doi.org/10.1039/D2EE03499A
46,Li5 Nd3 Sb2 O12,1.3e-07,-6.886056648,0.67,159426.cif,25.0,https://doi.org/10.1039/D2EE03499A
134,Li1 H7 C3 N1 Cl1 O1,0.00016,-3.795880017,0.881,238683.cif,25.0,https://doi.org/10.1039/D2EE03499A
329,Li6.25 Ge0.25 P0.75 S5 I1,0.000152148,-3.817733752,0.30488,LGPSI_025_N.cif,25.0,10.1021/jacs.8b10282
285,Li6 Br3 N1,1e-08,-8.0,0.69,84091.cif,25.0,https://doi.org/10.1039/D2EE03499A
369,Li6.2Sn0.2Sb0.8S5I ,0.019,-1.721246399,0.23,Li6.2Sn0.2Sb0.8S5I.cif,25.0,10.1021/jacs.9b08357
338,Li2 P2 S6,7.7e-11,-10.11350927,0.512353488,Li2P2S6.cif,25.0,10.1021/acs.inorgchem.7b00751
206,Ba1 Li1 P2 O7,1e-10,-10.0,,280927.cif,25.0,https://doi.org/10.1039/D2EE03499A
377,Li6 P1 S5 Br1,0.000726358,-3.138849276,0.195406109,Li6P1Si0S5Br.cif,25.0,10.1039/C7TA08581H
368,Li6.2Ge0.2Sb0.8S5I ,0.00087,-3.060480747,0.3,Li6.2Ge0.2Sb0.8S5I.cif,25.0,10.1021/jacs.9b08357
241,Li4B4Al3O12Br,2.7e-07,-6.568636236,,46852.cif,21.0,https://doi.org/10.1016/j.ssi.2022.115921
351,Li4 Ge1 Se4,4.62e-06,-5.335358024,0.463140621,Li4GeSe4.cif,25.0,Nicolo Minafra
12,Li2.8 Zr0.2 In0.8 Cl6,0.000799153,-3.097370066,0.38258,020Zr.cif,25.0,10.1021/acs.chemmater.1c01348
196,Li1.7 Al0.7 Ge1.3 P3 O12,0.000264,-3.578396073,0.45,263765.cif,25.0,https://doi.org/10.1039/D2EE03499A
384,Li6 P1 S5 Br1,0.000942366,-3.025780391,0.319206534,Li6PS5Br_18disorder.cif,25.0,10.1002/aenm.202003369
